Date,Sugarcane Production (thousand tons),Sugar Production (thousand tons),Ethanol Price (USD/liter),GDP (billion USD),Inflation Rate (%),Temperature (°C),Rainfall (mm),Ethanol Demand (thousand m³)
2003-01-01,4223.4823610800895,1736.3197235053067,0.9586597101709888,10.008330184032141,2.5085419288047897,24.664041677734108,90.4813354931083,3215.751399370595
2003-01-02,4398.054101864997,2150.1327814771153,1.1366578679095638,9.811736186698003,2.5996147114123436,22.58799097410931,91.67795232470831,3473.8041771432995
2003-01-03,5156.777780850529,2087.491292444358,1.0843806022705682,9.876148742423016,2.325899155367566,26.08173567992199,110.01002444918825,3678.1201714355557
2003-01-04,6422.539261121899,2245.149266373337,1.0540193791883379,10.194184513092354,2.433310453758759,24.72659985956735,113.62539073417928,4133.92173719894
2003-01-05,5288.248888873607,2250.6405535918684,1.1205439698151403,10.06144258078997,2.3783467537053085,24.233317603167706,105.28746848233567,3794.6751548809953
2003-01-06,5387.8029169995625,2059.640948664508,1.1219159095297695,10.507919541094335,2.3609021504141157,28.55516065029046,103.6205178767116,3737.422323572276
2003-01-07,4843.68729533913,2155.2980272430195,1.307370754861962,10.243931805610961,2.330356902571482,24.99744673661592,116.97955877796768,3620.4511799701086
2003-01-08,6117.18247987288,2090.9778004147993,1.1959926659856048,10.465859092240212,2.389238129190288,29.581507492529628,98.06812939800419,3974.7316364597978
2003-01-09,6193.944218064199,2173.1412726967587,1.1945479039148743,10.447248379311182,2.400670899957317,26.002462993252355,133.84410288675215,4034.2901389343524
2003-01-10,6177.864510327438,2041.547125292032,1.1936336813505353,10.271431243379205,2.345637480024285,28.33554312354913,120.19029575142466,3967.104204613661
2003-01-11,5526.860648384215,2330.538154217236,1.3240311912266025,10.024669735013473,2.2887179736899856,28.07930946119009,115.23466912798435,3917.0147110944436
2003-01-12,5537.853975874933,2482.3863578147816,1.3321349483706801,10.682591953554928,2.288972509495353,31.72982679413437,126.12316097752856,4004.740246431954
2003-01-13,5285.477960764741,2116.2891198259704,1.2549370736662548,10.270237727644185,2.4192114905893756,30.848868647310113,124.94741852704549,3742.3688890340595
2003-01-14,6005.49443629766,2545.321384705426,1.1870290514057389,10.401027481612847,2.1473385557436826,28.169301021509764,121.62170810753081,4164.640608475841
2003-01-15,5445.24606534921,2318.3392182921266,1.2319120297810102,10.462556376680915,2.1870974117314477,29.612058353884954,100.80644062795554,3884.565617426165
2003-01-16,5408.78673397941,2347.464291262379,1.3224031260574474,10.48854517968129,2.1317869442909703,32.64629998693276,124.05940069334068,3898.7035388828963
2003-01-17,5787.7282445861665,1959.986176990948,1.4935707960616695,10.692178534028557,2.163179655152417,32.983907223785295,134.55033004103254,3823.3254848622105
2003-01-18,5747.08672286036,1936.0469812225936,1.350622539645455,10.49699721681089,1.9916296393472448,27.220705179349142,114.28110831616326,3783.112983359777
